track_name,artist,genre,release_year,danceability,energy,valence,acousticness,instrumentalness,speechiness,tempo,loudness,duration_ms,popularity
Shadow Heart Rain,J. Cole,hip-hop,1996,0.5967,0.492,0.6945,0.2073,0.0173,0.0079,96.0,-9.1,262943,42
Break Stay,Murray Perahia,classical,2021,0.1254,0.4034,0.0,0.8542,0.9507,0.0388,133.9,-23.1,195527,43
Storm Low Lost,Bad Bunny,latin,2008,0.7306,0.64,0.6696,0.0,0.0394,0.0946,126.7,-7.9,221100,78
Silver Fall Love,Alicia Keys,r&b,1995,0.4337,0.3729,0.4515,0.5068,0.0,0.1177,114.4,-2.8,235696,42
Dreams Rush Midnight,Ariana Grande,pop,2009,0.6219,0.6765,0.6237,0.1105,0.0648,0.072,129.1,-2.4,256424,42
Crystal Break,Justin Bieber,pop,2016,0.8059,0.7801,0.4215,0.3768,0.011,0.0182,114.9,-2.4,217435,64
Electric Night Red,Ariana Grande,pop,1996,0.7488,0.5527,0.6721,0.1444,0.0,0.0807,141.7,-3.8,206567,68
Echo,Esperanza Spalding,jazz,1994,0.611,0.4394,0.2688,0.6427,0.0,0.0775,120.8,-10.6,243871,37
Light Rise,Daniel Caesar,r&b,2000,0.7972,0.6896,0.5586,0.2032,0.0481,0.1305,89.7,-7.9,246857,60
Rain High Free,Ozuna,latin,2004,0.6768,0.7929,0.4583,0.1504,0.0181,0.1331,131.4,-4.7,120000,63
Midnight Gold Pulse,Adele,pop,1992,0.7211,0.6904,0.3101,0.2772,0.0808,0.068,107.9,-6.6,236988,50
Midnight,Hilary Hahn,classical,1994,0.2667,0.3494,0.0889,0.9773,0.6886,0.0472,101.1,-22.1,213102,22
Glow Electric,Kamasi Washington,jazz,2012,0.4904,0.2309,0.3566,1.0,0.3748,0.0364,128.2,-9.2,172225,30
Low Love,Radiohead,rock,1998,0.1649,0.7423,0.4321,0.0,0.0874,0.0,146.9,-2.1,315866,21
Night Rush Dreams,Radiohead,rock,2004,0.7137,0.6183,0.5856,0.2302,0.1306,0.0519,142.8,-5.5,173937,45
Glow,The Killers,rock,1992,0.4589,0.8689,0.4424,0.1212,0.1902,0.0567,123.4,-6.7,157083,57
Home Crystal Fire,Kendrick Lamar,hip-hop,2018,0.6043,0.4405,0.8533,0.2266,0.0197,0.175,99.0,-7.6,197263,59
Stay Silver,Zedd,electronic,1995,0.8434,0.75,0.665,0.0765,0.2933,0.1608,129.4,-6.0,215572,55
Heart High,Kanye West,hip-hop,2006,0.7318,0.6894,0.4454,0.1785,0.0156,0.3633,66.7,-6.3,169117,65
Dreams,Green Day,rock,2015,0.8485,0.7291,0.3169,0.1884,0.0321,0.0883,108.8,-5.5,249429,68
Stars Neon Love,Chris Brown,r&b,2010,0.6424,0.5111,0.9195,0.4075,0.0008,0.1039,110.7,-2.8,211775,85
Night,Justin Bieber,pop,1997,0.7605,0.6424,0.4721,0.5279,0.0126,0.1168,118.1,-10.6,120000,44
Home Silver,Red Hot Chili Peppers,rock,2010,0.6521,0.7144,0.9708,0.2542,0.0739,0.0618,133.1,-6.4,131182,58
Rise Free Crystal,J. Cole,hip-hop,2000,0.7813,0.7697,0.4883,0.1097,0.0008,0.2225,130.0,-4.2,155188,45
Wild Shine,Martin Garrix,electronic,1997,0.5977,0.6829,0.634,0.1255,0.0,0.0686,140.2,-9.4,161699,52
Dreams Night Red,Kacey Musgraves,country,2013,0.3112,0.6465,0.5047,0.4632,0.0217,0.0785,92.9,-8.4,229294,55
Silver Free,The Killers,rock,2024,0.3924,0.866,0.1668,0.0,0.0453,0.0665,141.2,-3.3,232263,37
Fire,Calvin Harris,electronic,2003,0.7129,0.8093,0.29,0.0245,0.3718,0.1172,119.0,-6.7,237605,57
Shadow Rain,Jhené Aiko,r&b,2003,0.6498,0.6083,0.5887,0.274,0.0,0.1655,107.2,-6.1,241127,48
Fever,Justin Bieber,pop,1999,0.7001,0.5818,0.6528,0.0915,0.058,0.0314,116.0,-7.4,165561,64
Waves Stars High,H.E.R.,r&b,2001,0.442,0.3887,0.7008,0.5182,0.0377,0.0373,129.8,-3.6,242321,11
Away Gone Stars,Adele,pop,2023,0.4636,0.7167,0.493,0.0684,0.0214,0.0,119.4,-4.8,223736,69
Silver Light,The Weeknd,pop,1999,0.5818,0.6298,0.7276,0.2623,0.0727,0.0692,133.5,-3.8,240321,46
Dance Fever,Phoebe Bridgers,indie,2006,0.4163,0.1809,0.6722,0.287,0.0,0.0731,174.2,-8.3,252800,29
Found Crystal Rush,Yo-Yo Ma,classical,2006,0.0894,0.2801,0.5359,0.8737,0.7217,0.0727,113.5,-13.9,201441,33
High Sunset,Miranda Lambert,country,1992,0.6435,0.623,0.6583,1.0,0.0148,0.0,116.4,-7.8,198084,54
Waves Pulse,Lil Nas X,hip-hop,2020,0.6623,0.8482,0.2186,0.0,0.0174,0.0919,132.2,-10.2,253281,73
Midnight Night,Taylor Swift,pop,1990,0.7393,0.8274,0.7076,0.3354,0.0,0.0725,128.4,-5.9,203018,56
Sunset Shine Stars,Shakira,latin,2001,0.8098,0.8181,0.7847,0.2174,0.0,0.1022,123.8,-3.5,166978,40
Away Rush Blue,Megan Thee Stallion,hip-hop,1993,0.848,0.3937,0.2588,0.3027,0.0,0.2331,123.4,-10.8,131956,61
Blue,Harry Styles,pop,2002,0.6472,0.6783,0.4534,0.1483,0.0431,0.0542,113.1,-6.3,205491,46
Sunset,Deadmau5,electronic,2023,0.7573,0.7872,0.3863,0.0368,0.2244,0.0965,114.0,-7.2,159456,93
Lost Love Midnight,The Weeknd,pop,2010,0.4664,0.6834,0.4703,0.2953,0.0464,0.0545,103.8,-10.2,173368,47
Fire High,Mac DeMarco,indie,2011,0.4149,0.6623,0.0211,0.4902,0.1425,0.0398,84.0,-12.7,192068,27
Neon Gold Electric,The Killers,rock,1993,0.4872,0.8792,0.4049,0.35,0.0025,0.0316,155.5,-5.9,282048,57
Blue,Daddy Yankee,latin,2007,0.719,0.7512,0.7887,0.4253,0.0,0.1264,134.5,-7.0,193788,42
Home Night,Kanye West,hip-hop,1994,0.768,0.4001,0.8831,0.0305,0.0,0.1161,168.3,-9.1,218020,42
Red,Martin Garrix,electronic,2008,0.7981,0.7972,0.264,0.0,0.3583,0.1427,118.2,-4.9,141609,54
Away,Avicii,electronic,1991,0.7501,0.7632,0.1601,0.0174,0.6301,0.0032,152.7,-4.4,183143,26
Rise High,Radiohead,rock,2001,0.377,0.7787,0.2852,0.2623,0.0,0.0465,143.8,-6.4,228501,32
